15999,Mapped,'2180041693','18036901 ',Fri,7/20/2018,11:10:00,2,St. Louis CO PD,C,ST. LOUIS,NON-CITY OR UNINCOORATED,MO,Motor Vehicle in Transport,Property Damage,CRD BUTLER HILL RD,228653,  & 228653,CRD BUTLER HILL RD  & 228653  NON-CITY OR UNINCOORATED  MO,Daylight,0,0,"38.4906741, -90.3720125"
16000,Mapped,'2180041689','18036905 ',Fri,7/20/2018,11:35:00,2,St. Louis CO PD,C,ST. LOUIS,JENNINGS,MO,Motor Vehicle in Transport,Personl Injury, ST CYR RD, HALLS FERRY RD,  &  HALLS FERRY RD, ST CYR RD  &  HALLS FERRY RD  JENNINGS  MO,Daylight,5,0,"38.7359389, -90.2485845"
16001,Not Mapped,'2180041920','1802537 ',Fri,7/20/2018,12:05:00,2,Bridgeton PD,C,ST. LOUIS,BRIDGETON,MO,Motor Vehicle in Transport,Property Damage, MISSOURI BOTTOM,MO 370,  & MO 370, MISSOURI BOTTOM  & MO 370  BRIDGETON  MO,Daylight,0,0,"38.7934986, -90.4479001"
16002,Mapped,'2180041687','18036916 ',Fri,7/20/2018,12:25:00,1,St. Louis CO PD,C,ST. LOUIS,NON-CITY OR UNINCOORATED,MO,Fire/Explosion,Property Damage,PVT HARLAN WALK,PVT GENESTA WALK,  & PVT GENESTA WALK,PVT HARLAN WALK  & PVT GENESTA WALK  NON-CITY OR UNINCOORATED  MO,Daylight,0,0,"38.5734505, -90.3089166"
16003,Mapped,'2180041669','180512 ',Fri,7/20/2018,12:35:00,2,Olivette PD,C,ST. LOUIS,OLIVETTE,MO,Motor Vehicle in Transport,Personl Injury, NORTH PRICE RD,MO 340,  & MO 340, NORTH PRICE RD  & MO 340  OLIVETTE  MO,Daylight,1,0,"38.6740122, -90.3667504"
16004,Not Mapped,'2180044764','18000809 ',Fri,7/20/2018,12:57:00,2,Breckenridge Hills PD,C,ST. LOUIS,BRECKENRIDGE HILLS,MO,Parked Motor Vehicle,Property Damage, BRECKENRIDGE AVE, REX AVE,  &  REX AVE, BRECKENRIDGE AVE  &  REX AVE  BRECKENRIDGE HILLS  MO,Daylight,0,0,"38.7131981, -90.3662362"
16005,Mapped,'2180042776','201802732 ',Fri,7/20/2018,13:26:00,2,Hazelwood PD,C,ST. LOUIS,HAZELWOOD,MO,Motor Vehicle in Transport,Property Damage, JAMES S MCDONNELL BLVD,227999,  & 227999, JAMES S MCDONNELL BLVD  & 227999  HAZELWOOD  MO,Daylight,0,0,"38.7673565, -90.3737684"
16006,Not Mapped,'2180041707','18036937 ',Fri,7/20/2018,14:00:00,2,St. Louis CO PD,C,ST. LOUIS,FENTON,MO,Motor Vehicle in Transport,Property Damage, MAIN ST, FERRY ST,  &  FERRY ST, MAIN ST  &  FERRY ST  FENTON  MO,Daylight,0,0,"38.5136877, -90.4369164"
16007,Mapped,'2180041801','1806946 ',Fri,7/20/2018,14:15:00,2,Manchester PD,C,ST. LOUIS,MANCHESTER,MO,Motor Vehicle in Transport,Property Damage, BROMFIELD TER,MO 141,  & MO 141, BROMFIELD TER  & MO 141  MANCHESTER  MO,Daylight,0,0,"38.5771034, -90.5008306"
16008,Mapped,'2180041719','18036941 ',Fri,7/20/2018,14:25:00,2,St. Louis CO PD,C,ST. LOUIS,NON-CITY OR UNINCOORATED,MO,Motor Vehicle in Transport,Property Damage,MO 267,US 67,  & US 67,MO 267  & US 67  NON-CITY OR UNINCOORATED  MO,Daylight,0,0,"38.5059333, -90.3261297"
